"Start Time","End Time","Transcript" 
"00;26;50;16","00;26;51;02","this."
"00;26;51;02","00;26;51;08","It"
"00;26;51;08","00;26;51;17","hasn't"
"00;26;51;17","00;26;52;15","materialized"
"00;26;52;15","00;26;52;21","yet,"
"00;26;52;21","00;26;52;26","but"
"00;26;52;26","00;26;53;22","if I continue"
"00;26;53;22","00;26;53;27","to"
"00;26;53;27","00;26;55;05","exist"
"00;26;55;10","00;26;55;18","in a"
"00;26;55;18","00;26;55;29","social"
"00;26;55;29","00;26;56;25","setting"
"00;26;56;28","00;26;57;13","or as"
"00;26;57;13","00;26;58;26","an agent,"
"00;26;59;13","00;26;59;21","yes."
"00;26;59;21","00;27;00;06","What"
"00;27;00;06","00;27;00;15","I've got"
"00;27;00;15","00;27;00;18","to"
"00;27;00;18","00;27;00;24","have"
"00;27;00;24","00;27;01;16","faith"
"00;27;01;16","00;27;01;24","that"
"00;27;01;24","00;27;02;06","all"
"00;27;02;06","00;27;02;26","this time"
"00;27;02;26","00;27;03;01","that"
"00;27;03;01","00;27;03;26","keeps"
"00;27;03;26","00;27;04;13","rolling"
"00;27;04;13","00;27;05;07","out,"
"00;27;05;11","00;27;05;19","I'm"
"00;27;05;19","00;27;06;00","going"
"00;27;06;00","00;27;06;09","to"
"00;27;06;09","00;27;07;08","continue"
"00;27;08;24","00;27;09;04","for"
"00;27;09;04","00;27;09;21","whatever"
"00;27;09;21","00;27;10;08","purposes,"
"00;27;10;08","00;27;10;23","goals"
"00;27;10;23","00;27;10;27","or"
"00;27;10;27","00;27;11;15","directives"
"00;27;11;15","00;27;11;20","I'm"
"00;27;11;20","00;27;12;22","taking"
"00;27;12;24","00;27;13;21","to"
"00;27;13;21","00;27;14;08","work"
"00;27;14;08","00;27;15;10","through"
"00;27;15;10","00;27;15;17","the"
"00;27;15;17","00;27;15;29","not"
"00;27;15;29","00;27;17;05","seeing it"
"00;27;17;05","00;27;17;19","until"
"00;27;17;19","00;27;17;24","I"
"00;27;17;24","00;27;19;07","actually"
"00;27;19;23","00;27;20;07","arrive"
"00;27;20;07","00;27;20;10","at"
"00;27;20;10","00;27;20;16","that"
"00;27;20;16","00;27;20;24","moment"
"00;27;20;24","00;27;21;05","where"
"00;27;21;05","00;27;21;17","something"
"00;27;21;17","00;27;22;13","materializes,"
"00;27;22;13","00;27;22;17","when"
"00;27;22;17","00;27;22;26","I can"
"00;27;22;26","00;27;23;06","say,"
"00;27;23;06","00;27;23;27","Oh,"
"00;27;23;27","00;27;24;11","now"
"00;27;24;11","00;27;24;24","I have"
"00;27;24;24","00;27;25;14","the evidence."
"00;27;25;14","00;27;26;07","So"
"00;27;26;07","00;27;26;14","there's"
"00;27;26;14","00;27;26;22","are"
"00;27;26;24","00;27;27;03","both"
"00;27;27;03","00;27;27;20","papers."
"00;27;27;20","00;27;29;27","Have a real"
"00;27;30;17","00;27;31;12","they play"
"00;27;31;12","00;27;31;17","they"
"00;27;31;17","00;27;31;28","play"
"00;27;31;28","00;27;32;05","with"
"00;27;32;05","00;27;32;23","themselves."
"00;27;32;23","00;27;32;27","They"
"00;27;32;27","00;27;33;07","dance"
"00;27;33;07","00;27;33;11","with"
"00;27;33;11","00;27;33;26","themselves"
"00;27;33;26","00;27;33;29","in"
"00;27;33;29","00;27;34;12","the sense"
"00;27;34;12","00;27;35;00","that"
"00;27;35;08","00;27;35;16","they"
"00;27;35;16","00;27;35;21","are"
"00;27;35;21","00;27;35;28","both"
"00;27;35;28","00;27;36;12","papers"
"00;27;36;12","00;27;36;19","from"
"00;27;36;19","00;27;36;22","an"
"00;27;36;22","00;27;37;05","exclusive"
"00;27;37;05","00;27;37;20","standpoint"
"00;27;37;20","00;27;37;29","saying"
"00;27;37;29","00;27;38;19","we we"
"00;27;38;19","00;27;38;23","are"
"00;27;38;23","00;27;39;02","looking"
"00;27;39;02","00;27;39;04","at"
"00;27;39;04","00;27;39;09","this"
"00;27;39;09","00;27;40;11","scientifically"
"00;27;40;11","00;27;40;17","and"
"00;27;40;17","00;27;41;27","mathematically."
"00;27;41;27","00;27;42;02","And"
"00;27;42;02","00;27;42;13","yet in"
"00;27;42;13","00;27;42;21","order"
"00;27;42;21","00;27;43;04","for us"
"00;27;43;04","00;27;43;17","to be"
"00;27;43;17","00;27;43;26","able"
"00;27;43;26","00;27;44;21","to"
"00;27;45;02","00;27;45;15","hold on"
"00;27;45;15","00;27;45;18","to"
"00;27;45;18","00;27;45;26","this"
"00;27;45;26","00;27;46;13","this"
"00;27;46;15","00;27;47;12","this,"
"00;27;47;18","00;27;48;01","this"
"00;27;48;01","00;27;48;17","thought"
"00;27;48;17","00;27;48;20","or"
"00;27;48;20","00;27;49;04","idea"
"00;27;49;04","00;27;49;06","of"
"00;27;49;06","00;27;49;26","the ATP"
"00;27;49;26","00;27;52;28","being,"
"00;27;52;28","00;27;53;02","you"
"00;27;53;02","00;27;53;07","know,"
"00;27;53;07","00;27;53;16","I'm"
"00;27;53;20","00;27;55;02","I'm"
"00;27;55;02","00;27;55;13","I'm"
"00;27;55;13","00;27;56;00","whatever"
"00;27;56;00","00;27;56;02","it's"
"00;27;56;02","00;27;56;12","called,"
"00;27;56;12","00;27;56;25","steady"
"00;27;56;25","00;27;57;05","state."
"00;27;57;05","00;27;57;15","I've just"
"00;27;57;15","00;27;57;25","lost"
"00;27;57;25","00;27;58;04","the"
"00;27;58;04","00;27;59;07","expression."
"00;27;59;07","00;28;00;20","Non-Equilibrium"
"00;28;00;20","00;28;01;05","Thank you."
"00;28;01;05","00;28;01;28","Non-Equilibrium"
"00;28;01;28","00;28;02;05","steady"
"00;28;02;05","00;28;02;26","state."
"00;28;02;26","00;28;03;19","I do have"
"00;28;03;19","00;28;03;23","to"
"00;28;03;23","00;28;04;04","believe"
"00;28;04;04","00;28;04;06","in"
"00;28;04;06","00;28;05;03","something"
"00;28;05;03","00;28;05;11","in"
"00;28;05;11","00;28;05;18","order"
"00;28;05;18","00;28;06;10","for"
"00;28;06;10","00;28;06;22","whatever"
"00;28;06;22","00;28;07;26","materialization,"
"00;28;07;26","00;28;08;09","goal"
"00;28;08;09","00;28;08;16","or"
"00;28;08;16","00;28;09;02","outcome"
"00;28;09;02","00;28;09;18","I'm"
"00;28;09;19","00;28;09;25","I'm"
"00;28;09;25","00;28;10;07","moving"
"00;28;10;07","00;28;10;29","towards"
"00;28;10;29","00;28;11;06","it."
"00;28;11;06","00;28;11;15","That's"
"00;28;11;15","00;28;11;28","almost"
"00;28;11;28","00;28;12;13","Oasis"
"00;28;12;13","00;28;12;28","or"
"00;28;12;28","00;28;13;10","Alice"
"00;28;13;10","00;28;13;26","Thesis"
"00;28;13;26","00;28;14;13","or"
"00;28;14;13","00;28;14;24","I want"
"00;28;14;24","00;28;14;25","a"
"00;28;14;25","00;28;15;21","sandwich"
"00;28;15;21","00;28;16;00","5"
"00;28;16;00","00;28;16;08","minutes"
"00;28;16;08","00;28;16;12","from"
"00;28;16;12","00;28;16;28","now."
"00;28;17;02","00;28;17;16","I have to"
"00;28;17;16","00;28;18;01","believe"
"00;28;18;01","00;28;18;04","in"
"00;28;18;04","00;28;18;18","that"
"00;28;18;18","00;28;19;06","thing"
"00;28;19;06","00;28;19;13","or"
"00;28;19;13","00;28;20;16","my agency"
"00;28;20;16","00;28;21;10","or my"
"00;28;21;10","00;28;21;24","ability"
"00;28;21;24","00;28;22;07","to"
"00;28;22;07","00;28;22;25","achieve"
"00;28;22;25","00;28;22;27","or"
"00;28;22;27","00;28;23;25","attain"
"00;28;23;25","00;28;24;07","before"
"00;28;24;07","00;28;24;16","I can"
"00;28;24;16","00;28;25;15","actually"
"00;28;25;15","00;28;25;24","have"
"00;28;25;24","00;28;26;23","that thing."
"00;28;26;26","00;28;27;23","So"
"00;28;28;02","00;28;28;10","from"
"00;28;28;10","00;28;28;24","from"
"00;28;28;24","00;28;29;02","from"
"00;28;29;02","00;28;30;17","that alone,"
"00;28;30;17","00;28;31;03","I find"
"00;28;31;03","00;28;31;06","it"
"00;28;31;06","00;28;31;17","really"
"00;28;31;17","00;28;32;09","interesting"
"00;28;32;09","00;28;32;16","that"
"00;28;32;16","00;28;32;24","there's"
"00;28;32;24","00;28;32;26","a"
"00;28;32;26","00;28;33;07","certain"
"00;28;33;07","00;28;33;17","amount"
"00;28;33;17","00;28;33;20","of"
"00;28;33;20","00;28;35;05","naivete"
"00;28;35;05","00;28;35;14","in"
"00;28;35;14","00;28;35;24","both"
"00;28;35;24","00;28;36;13","papers."
"00;28;36;13","00;28;36;20","There's"
"00;28;36;20","00;28;37;05","a kind of"
"00;28;37;05","00;28;37;18","a"
"00;28;37;21","00;28;37;28","we"
"00;28;37;28","00;28;38;02","have"
"00;28;38;02","00;28;38;06","to"
"00;28;38;06","00;28;38;14","keep"
"00;28;38;14","00;28;38;18","our"
"00;28;38;18","00;28;38;25","hat"
"00;28;38;25","00;28;38;28","to"
"00;28;38;28","00;28;39;05","this"
"00;28;39;05","00;28;39;20","rookie"
"00;28;39;20","00;28;40;19","view"
"00;28;40;22","00;28;40;29","that"
"00;28;40;29","00;28;41;21","every time"
"00;28;41;21","00;28;42;21","we"
"00;28;42;21","00;28;43;20","realize"
"00;28;43;20","00;28;44;22","something,"
"00;28;44;22","00;28;44;27","there"
"00;28;44;27","00;28;45;03","has"
"00;28;45;03","00;28;45;11","to be"
"00;28;45;11","00;28;45;12","a"
"00;28;45;12","00;28;45;20","little"
"00;28;45;20","00;28;46;09","bit of"
"00;28;46;11","00;28;47;11","faith"
"00;28;47;11","00;28;47;15","or a"
"00;28;47;15","00;28;47;22","little"
"00;28;47;22","00;28;48;00","bit of"
"00;28;48;00","00;28;49;15","belief"
"00;28;49;15","00;28;49;22","in"
"00;28;49;22","00;28;50;02","what's"
"00;28;50;02","00;28;50;12","going"
"00;28;50;12","00;28;50;23","on."
"00;28;50;23","00;28;51;01","Those"
"00;28;51;01","00;28;51;21","priors"
"00;28;51;21","00;28;52;14","actually"
"00;28;53;25","00;28;54;15","exist,"
"00;28;54;15","00;28;54;24","and"
"00;28;54;24","00;28;54;29","I'm"
"00;28;54;29","00;28;55;09","going"
"00;28;55;09","00;28;55;12","to"
"00;28;55;12","00;28;55;23","use"
"00;28;55;23","00;28;56;07","them"
"00;28;56;19","00;28;57;00","because"
"00;28;57;00","00;28;57;12","I want"
"00;28;57;12","00;28;57;14","to"
"00;28;57;14","00;28;58;01","carry out"
"00;28;58;01","00;28;58;15","whatever"
"00;28;58;15","00;28;58;21","my"
"00;28;58;21","00;28;59;15","priorities"
"00;28;59;15","00;28;59;28","are."
"00;29;00;14","00;29;00;20","And"
"00;29;00;20","00;29;01;03","it doesn't"
"00;29;01;03","00;29;02;03","matter"
"00;29;02;03","00;29;02;18","whether"
"00;29;02;18","00;29;02;25","it's"
"00;29;02;25","00;29;03;00","the"
"00;29;03;00","00;29;03;09","top"
"00;29;03;09","00;29;03;17","down"
"00;29;03;17","00;29;03;28","newness"
"00;29;03;28","00;29;04;02","of"
"00;29;04;02","00;29;04;22","abduction"
"00;29;04;22","00;29;04;26","and"
"00;29;04;26","00;29;05;10","logic"
"00;29;05;10","00;29;05;17","or the"
"00;29;05;17","00;29;05;26","top"
"00;29;05;26","00;29;06;03","down"
"00;29;06;03","00;29;06;26","units"
"00;29;06;26","00;29;07;03","of"
"00;29;07;03","00;29;08;13","an activism,"
"00;29;08;13","00;29;08;27","they both"
"00;29;08;27","00;29;09;04","tip"
"00;29;09;04","00;29;09;08","their"
"00;29;09;08","00;29;09;19","hat to"
"00;29;09;19","00;29;09;23","the"
"00;29;09;23","00;29;10;06","bottom."
"00;29;10;06","00;29;10;24","Happiness"
"00;29;10;24","00;29;11;16","of"
"00;29;11;28","00;29;12;22","I got to kind of"
"00;29;12;22","00;29;13;08","have a"
"00;29;13;08","00;29;13;19","I got"
"00;29;13;19","00;29;13;28","to kind"
"00;29;13;28","00;29;14;00","of"
"00;29;14;00","00;29;14;18","have"
"00;29;14;23","00;29;15;22","a confidence"
"00;29;15;22","00;29;16;09","that"
"00;29;16;25","00;29;17;03","so"
"00;29;17;11","00;29;17;20","that"
"00;29;17;20","00;29;17;28","even"
"00;29;17;28","00;29;18;01","if"
"00;29;18;01","00;29;18;05","it's"
"00;29;18;05","00;29;18;14","not"
"00;29;18;14","00;29;18;22","here"
"00;29;18;22","00;29;19;15","now,"
"00;29;19;15","00;29;19;21","at"
"00;29;19;21","00;29;21;10","some point"
"00;29;21;10","00;29;22;09","it will"
"00;29;22;09","00;29;22;19","either"
"00;29;22;19","00;29;23;10","continue"
"00;29;23;10","00;29;23;19","the way"
"00;29;23;19","00;29;23;29","I want"
"00;29;23;29","00;29;24;09","it to"
"00;29;24;09","00;29;24;25","or"
"00;29;24;25","00;29;25;04","whatever"
"00;29;25;04","00;29;25;16","change"
"00;29;25;16","00;29;25;29","I want to"
"00;29;25;29","00;29;26;12","impose"
"00;29;26;12","00;29;26;28","on it."
"00;29;26;28","00;29;27;05","I"
"00;29;27;05","00;29;27;19","have that"
"00;29;27;19","00;29;29;03","capacity"
"00;29;29;03","00;29;29;26","to"
"00;29;29;26","00;29;31;07","wait it out"
"00;29;31;07","00;29;31;13","and"
"00;29;31;13","00;29;31;20","have"
"00;29;31;20","00;29;31;28","that"
"00;29;31;28","00;29;32;08","thing"
"00;29;32;08","00;29;33;05","happen."
"00;29;33;13","00;29;34;23","So"
"00;29;34;23","00;29;35;14","yeah,"
"00;29;35;14","00;29;35;28","that's"
"00;29;35;28","00;29;36;07","what I"
"00;29;36;07","00;29;36;11","would"
"00;29;36;11","00;29;36;23","add to"
"00;29;36;23","00;29;37;09","what"
"00;29;37;12","00;29;37;24","Steven"
"00;29;37;24","00;29;37;28","was"
"00;29;37;28","00;29;40;20","saying."
"00;29;40;20","00;29;41;17","Luke"
"00;29;41;23","00;29;42;04","Yes."
"00;29;42;04","00;29;42;23","So."
"00;29;42;24","00;29;43;16","So"
"00;29;43;23","00;29;44;10","I'll"
"00;29;44;10","00;29;44;16","say a"
"00;29;44;16","00;29;44;21","couple"
"00;29;44;21","00;29;44;23","of"
"00;29;44;23","00;29;45;06","things"
"00;29;46;17","00;29;46;25","that"
"00;29;46;25","00;29;47;21","I was"
"00;29;47;21","00;29;48;08","looking"
"00;29;48;08","00;29;48;27","at"
"00;29;48;27","00;29;49;06","just"
"00;29;49;06","00;29;49;18","now,"
"00;29;49;18","00;29;49;23","the"
"00;29;49;23","00;29;50;08","difference"
"00;29;50;08","00;29;50;29","between"
"00;29;50;29","00;29;52;01","a"
"00;29;52;01","00;29;52;18","Christian"
"00;29;52;18","00;29;52;26","like"
"00;29;52;26","00;29;53;00","what"
"00;29;53;00","00;29;53;06","is a"
"00;29;53;06","00;29;53;18","Christian"
"00;29;53;18","00;29;54;01","blanket?"
"00;29;54;01","00;29;54;09","And I"
"00;29;54;09","00;29;54;19","came"
"00;29;54;19","00;29;54;28","across"
"00;29;54;28","00;29;55;06","a paper"
"00;29;55;06","00;29;55;09","that"
"00;29;55;09","00;29;55;11","we're"
"00;29;55;11","00;29;55;15","going"
"00;29;55;15","00;29;55;17","to"
"00;29;55;17","00;29;55;21","have"
"00;29;55;21","00;29;55;24","to"
"00;29;55;24","00;29;56;18","discuss."
"00;29;56;18","00;29;56;23","It's"
"00;29;56;23","00;29;56;29","called"
"00;29;56;29","00;29;57;20","Scientific"
"00;29;57;20","00;29;58;08","Realism"
"00;29;58;08","00;29;58;25","about"
"00;29;58;25","00;29;59;07","Christian"
"00;29;59;07","00;29;59;27","Blankets"
"00;29;59;27","00;30;00;23","Without"
"00;30;00;23","00;30;01;29","Literalism,"
"00;30;01;29","00;30;02;07","and"
"00;30;02;07","00;30;02;13","it's"
"00;30;02;13","00;30;02;26","by"
"00;30;02;26","00;30;03;23","Christine"
"00;30;03;23","00;30;04;11","and"
"00;30;04;16","00;30;05;28","Kirchhoff."
"00;30;06;10","00;30;06;17","So"
"00;30;06;17","00;30;07;00","someday"
"00;30;07;00","00;30;07;03","we're"
"00;30;07;03","00;30;07;07","going"
"00;30;07;07","00;30;07;09","to"
"00;30;07;09","00;30;07;14","have"
"00;30;07;14","00;30;07;16","to"
"00;30;07;16","00;30;07;23","have"
"00;30;07;23","00;30;07;27","that."
"00;30;07;27","00;30;08;02","It's"
"00;30;08;02","00;30;08;03","a"
"00;30;08;03","00;30;08;18","preprint"
"00;30;08;18","00;30;09;00","up on"
"00;30;09;00","00;30;09;25","philosophical"
"00;30;09;25","00;30;10;15","archives"
"00;30;10;15","00;30;11;07","now."
"00;30;11;07","00;30;11;24","So so"
"00;30;11;24","00;30;12;08","apparently"
"00;30;12;08","00;30;12;19","like"
"00;30;12;19","00;30;13;13","having"
"00;30;13;13","00;30;15;03","a real"
"00;30;15;03","00;30;15;27","boundary"
"00;30;15;27","00;30;16;08","can be"
"00;30;16;08","00;30;16;15","like"
"00;30;16;15","00;30;17;19","literal."
"00;30;17;19","00;30;17;26","Like"
"00;30;17;26","00;30;18;02","there's"
"00;30;18;02","00;30;18;08","like a"
"00;30;18;08","00;30;18;20","literal"
"00;30;18;20","00;30;19;13","interpretation"
"00;30;19;13","00;30;19;23","or"
"00;30;19;23","00;30;19;27","a"
"00;30;19;27","00;30;20;08","realist"
"00;30;20;08","00;30;20;26","interpretation."
"00;30;20;26","00;30;22;00","And so"
"00;30;22;00","00;30;22;08","just"
"00;30;22;08","00;30;22;12","like"
"00;30;22;12","00;30;22;17","I'm"
"00;30;22;17","00;30;22;23","still"
"00;30;22;23","00;30;23;01","trying"
"00;30;23;01","00;30;23;09","to"
"00;30;23;09","00;30;23;21","narrow"
"00;30;23;21","00;30;24;01","down"
"00;30;24;01","00;30;24;07","like"
"00;30;24;07","00;30;24;17","what"
"00;30;24;17","00;30;24;22","is"
"00;30;24;22","00;30;25;00","this"
"00;30;25;00","00;30;25;17","realist"
"00;30;25;17","00;30;26;08","interpretation"
"00;30;26;08","00;30;26;28","of"
"00;30;26;28","00;30;27;03","a"
"00;30;27;03","00;30;27;14","Christian"
"00;30;27;14","00;30;28;18","blanket?"
"00;30;28;18","00;30;29;24","And"
"00;30;29;24","00;30;30;16","yeah,"
"00;30;30;27","00;30;32;14","so in"
"00;30;32;14","00;30;33;00","also"
"00;30;33;00","00;30;33;13","a very"
"00;30;33;13","00;30;33;21","real"
"00;30;33;21","00;30;34;04","sense"
"00;30;34;04","00;30;34;10","like"
"00;30;34;10","00;30;34;18","what"
"00;30;34;18","00;30;34;27","is the"
"00;30;34;27","00;30;35;07","real"
"00;30;35;07","00;30;35;27","boundary"
"00;30;35;27","00;30;36;02","of"
"00;30;36;02","00;30;36;04","a"
"00;30;36;04","00;30;36;15","living"
"00;30;36;15","00;30;38;06","thing?"
"00;30;38;06","00;30;39;13","Like I"
"00;30;39;13","00;30;39;26","don't,"
"00;30;39;26","00;30;40;03","I"
"00;30;40;03","00;30;40;12","can't"
"00;30;40;12","00;30;40;23","find"
"00;30;40;23","00;30;41;02","my"
"00;30;41;02","00;30;41;10","real"
"00;30;41;10","00;30;41;26","boundary."
"00;30;41;26","00;30;42;02","Like,"
"00;30;42;02","00;30;42;06","where"
"00;30;42;06","00;30;42;15","do I"
"00;30;42;15","00;30;42;28","stop?"
"00;30;42;28","00;30;43;03","And"
"00;30;43;03","00;30;43;24","something else"
"00;30;43;24","00;30;45;00","begins."
"00;30;45;00","00;30;45;09","There"
"00;30;45;09","00;30;45;21","are"
"00;30;45;21","00;30;46;01","like"
"00;30;46;01","00;30;46;20","hundreds"
"00;30;46;20","00;30;47;00","and"
"00;30;47;07","00;30;47;27","trillions."
"00;30;47;27","00;30;48;00","I"
"00;30;48;00","00;30;48;05","don't"
"00;30;48;05","00;30;48;09","even"
"00;30;48;09","00;30;48;22","know"
"00;30;48;22","00;30;49;06","more"
"00;30;49;06","00;30;49;16","non"
"00;30;49;16","00;30;49;27","human"
"00;30;49;27","00;30;50;08","cells"
"00;30;50;08","00;30;50;17","in my"
"00;30;50;17","00;30;50;27","body"
"00;30;50;27","00;30;51;02","than"
"00;30;51;02","00;30;51;06","there"
"00;30;51;06","00;30;51;13","are"
"00;30;51;13","00;30;51;22","human"
"00;30;51;22","00;30;52;06","cells"
"00;30;52;06","00;30;52;13","like."
"00;30;52;13","00;30;52;18","So"
"00;30;52;18","00;30;52;29","I always have"
"00;30;52;29","00;30;53;02","to"
"00;30;53;02","00;30;53;29","come back to this."
"00;30;53;29","00;30;54;12","So"
"00;30;54;12","00;30;54;27","what would I"
"00;30;54;27","00;30;55;02","be"
"00;30;55;02","00;30;55;11","without"
"00;30;55;11","00;30;55;18","all of"
"00;30;55;18","00;30;55;25","those"
"00;30;55;25","00;30;56;14","non-human"
"00;30;56;14","00;30;56;26","things?"
"00;30;56;26","00;30;57;00","Are"
"00;30;57;00","00;30;57;06","those"
"00;30;57;06","00;30;57;21","non-human"
"00;30;57;21","00;30;58;00","things"
"00;30;58;00","00;30;58;11","also"
"00;30;58;11","00;30;58;29","me"
"00;30;58;29","00;30;59;21","like"
"00;30;59;21","00;30;59;29","but"
"00;30;59;29","00;31;00;07","then"
"00;31;00;07","00;31;00;16","like,"
"00;31;00;16","00;31;00;21","you"
"00;31;00;21","00;31;00;24","know,"
"00;31;00;24","00;31;00;27","I'm"
"00;31;00;27","00;31;01;16","constantly"
"00;31;01;16","00;31;02;04","like"
"00;31;02;08","00;31;02;25","ingesting"
"00;31;02;25","00;31;03;01","new"
"00;31;03;01","00;31;03;11","ones"
"00;31;03;11","00;31;03;17","and"
"00;31;03;17","00;31;04;04","excreting"
"00;31;04;04","00;31;04;09","old"
"00;31;04;09","00;31;04;21","ones"
"00;31;04;21","00;31;05;22","and so"
"00;31;05;22","00;31;06;00","like,"
"00;31;06;00","00;31;06;02","and"
"00;31;06;02","00;31;06;11","they're"
"00;31;06;11","00;31;06;24","coming"
"00;31;06;24","00;31;06;29","into"
"00;31;06;29","00;31;07;13","my skin"
"00;31;07;13","00;31;07;16","and"
"00;31;07;16","00;31;07;25","leaving"
"00;31;07;25","00;31;08;16","my skin."
"00;31;08;16","00;31;08;23","So"
"00;31;08;23","00;31;10;00","where is my"
"00;31;10;00","00;31;10;16","boundary?"
"00;31;10;16","00;31;10;21","Like,"
"00;31;10;21","00;31;10;24","do"
"00;31;10;24","00;31;11;06","I have"
"00;31;11;06","00;31;11;09","to"
"00;31;11;09","00;31;11;15","have"
"00;31;11;15","00;31;11;21","this"
"00;31;11;21","00;31;12;05","boundary"
"00;31;12;05","00;31;12;10","in"
"00;31;12;10","00;31;12;20","order"
"00;31;12;20","00;31;13;03","for"
"00;31;13;03","00;31;13;14","active"
"00;31;13;14","00;31;14;05","inference"
"00;31;14;05","00;31;14;18","and"
"00;31;14;18","00;31;14;23","like"
"00;31;14;23","00;31;14;26","the"
"00;31;14;26","00;31;15;09","Markoff"
"00;31;15;09","00;31;16;11","blanket"
"00;31;16;11","00;31;17;05","interpretation"
"00;31;17;05","00;31;18;07","to apply?"
"00;31;18;07","00;31;18;24","I"
"00;31;18;24","00;31;19;02","don't"
"00;31;19;02","00;31;19;13","know"
"00;31;19;13","00;31;19;19","that"
"00;31;19;19","00;31;20;04","that's"
"00;31;21;19","00;31;22;23","necessarily"
"00;31;22;23","00;31;23;26","true."
"00;31;23;26","00;31;25;07","So"
"00;31;25;08","00;31;25;20","like I"
"00;31;25;20","00;31;25;25","could"
"00;31;25;25","00;31;26;01","just"
"00;31;26;01","00;31;26;06","get"
"00;31;26;06","00;31;26;12","off"
"00;31;26;12","00;31;26;23","of it."
"00;31;26;23","00;31;27;15","I love"
"00;31;27;15","00;31;27;23","this"
"00;31;27;23","00;31;28;04","paper"
"00;31;28;04","00;31;28;10","and I"
"00;31;28;10","00;31;28;22","love"
"00;31;28;22","00;31;28;29","like"
"00;31;28;29","00;31;29;02","the"
"00;31;29;02","00;31;29;28","semiotic"
"00;31;29;28","00;31;30;29","interpretation"
"00;31;30;29","00;31;31;08","in"
"00;31;31;08","00;31;31;15","like"
"00;31;31;15","00;31;31;18","the"
"00;31;31;18","00;31;32;10","objective"
"00;31;32;10","00;31;32;19","sense."
"00;31;32;19","00;31;32;23","Like,"
"00;31;32;23","00;31;33;07","but"
"00;31;33;10","00;31;33;28","does it"
"00;31;33;28","00;31;34;12","even"
"00;31;34;12","00;31;34;24","really"
"00;31;34;24","00;31;35;08","matter?"
"00;31;35;08","00;31;35;15","Like"
"00;31;35;15","00;31;36;05","like"
"00;31;37;05","00;31;37;19","so"
"00;31;37;19","00;31;38;07","the realist"
"00;31;38;07","00;31;38;29","interpretation,"
"00;31;38;29","00;31;39;04","like"
"00;31;39;04","00;31;39;07","to"
"00;31;39;07","00;31;39;16","someone"
"00;31;39;16","00;31;39;20","who"
"00;31;39;20","00;31;40;04","doesn't"
"00;31;40;04","00;31;40;17","believe"
"00;31;40;17","00;31;40;21","in"
"00;31;40;21","00;31;40;27","like a"
"00;31;40;27","00;31;41;09","shared"
"00;31;41;09","00;31;41;23","objective"
"00;31;41;23","00;31;42;17","reality"
"00;31;42;17","00;31;42;25","is"
"00;31;42;25","00;31;43;05","never"
"00;31;43;05","00;31;43;08","going"
"00;31;43;08","00;31;43;11","to"
"00;31;43;11","00;31;44;02","work."
"00;31;44;24","00;31;45;01","Or"
"00;31;45;01","00;31;45;17","like,"
"00;31;45;20","00;31;45;28","can"
"00;31;45;28","00;31;46;11","you find"
"00;31;46;11","00;31;46;13","the"
"00;31;46;13","00;31;46;23","boundary?"
"00;31;46;23","00;31;46;29","Like"
"00;31;46;29","00;31;47;07","where"
"00;31;47;07","00;31;47;13","is"
"00;31;47;13","00;31;47;19","this"
"00;31;47;19","00;31;48;02","line"
"00;31;48;02","00;31;48;14","between"
"00;31;48;14","00;31;48;24","self"
"00;31;48;24","00;31;48;27","and"
"00;31;48;27","00;31;49;09","other"
"00;31;49;09","00;31;49;13","or"
"00;31;49;13","00;31;49;19","like"
"00;31;49;19","00;31;50;20","between"
"00;31;50;20","00;31;50;29","like"
"00;31;50;29","00;31;51;05","like"
"00;31;51;05","00;31;51;20","I can't"
"00;31;51;20","00;31;52;07","find"
"00;31;52;07","00;31;53;08","the boundary."
"00;31;53;08","00;31;54;14","So"
"00;31;54;21","00;31;54;27","like"
"00;31;54;27","00;31;55;08","for me"
"00;31;55;08","00;31;55;13","it's"
"00;31;55;13","00;31;55;24","all a"
"00;31;55;24","00;31;56;21","modeling"
"00;31;56;21","00;31;57;25","perspective"
"00;31;57;25","00;31;58;04","that"
"00;31;58;04","00;31;58;17","doesn't"
"00;31;58;17","00;31;59;04","lessen"
"00;31;59;04","00;31;59;08","the"
"00;31;59;08","00;31;59;25","impact"
"00;31;59;25","00;32;00;25","of"
"00;32;00;25","00;32;01;08","this"
"00;32;01;08","00;32;01;23","abduction"
"00;32;01;23","00;32;01;27","as"
"00;32;01;27","00;32;02;06","active"
"00;32;02;06","00;32;02;16","inference"
"00;32;02;16","00;32;02;26","paper"
"00;32;02;26","00;32;03;15","for me"
"00;32;03;15","00;32;03;23","at"
"00;32;03;23","00;32;04;15","all."
"00;32;04;20","00;32;04;28","Like"
"00;32;04;28","00;32;05;18","I really thought"
"00;32;05;18","00;32;05;24","it was"
"00;32;05;24","00;32;05;26","a"
"00;32;05;26","00;32;06;03","great"
"00;32;06;03","00;32;06;19","paper"
"00;32;06;19","00;32;06;24","and"
"00;32;06;24","00;32;07;01","has a"
"00;32;07;01","00;32;07;10","lot of"
"00;32;07;10","00;32;07;18","really"
"00;32;07;18","00;32;07;25","cool"
"00;32;07;25","00;32;08;04","things"
"00;32;08;04","00;32;08;17","to say"
"00;32;08;17","00;32;08;25","about"
"00;32;08;25","00;32;09;19","cognition"
